Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
132	1337715	1337715	1337715	1337715	1337715	1337715	1337715	31602
133	1377935	1377935	1377935	1377935	1377935	1377935	1377935	31566
134	1419067	1419067	1419067	1419067	1419067	1419067	1419067	31530
135	1461124	1461124	1461124	1461124	1461124	1461124	1461124	31493
136	1504121	1504121	1504121	1504121	1504121	1504121	1504121	31457
137	1548070	1548070	1548070	1548070	1548070	1548070	1548070	31420
138	1592987	1592987	1592987	1592987	1592987	1592987	1592987	31384
139	1638886	1638886	1638886	1638886	1638886	1638886	1638886	31348
140	1685780	1685780	1685780	1685780	1685780	1685780	1685780	31311
141	1733685	1733685	1733685	1733685	1733685	1733685	1733685	31275
142	1782614	1782614	1782614	1782614	1782614	1782614	1782614	31238
143	1832583	1832583	1832583	1832583	1832583	1832583	1832583	31202
144	1883605	1883605	1883605	1883605	1883605	1883605	1883605	31166
145	1935696	1935696	1935696	1935696	1935696	1935696	1935696	31129
146	1988871	1988871	1988871	1988871	1988871	1988871	1988871	31093
147	2043144	2043144	2043144	2043144	2043144	2043144	2043144	31056
148	2098531	2098531	2098531	2098531	2098531	2098531	2098531	31020
149	2155047	2155047	2155047	2155047	2155047	2155047	2155047	30983
150	2212707	2212707	2212707	2212707	2212707	2212707	2212707	30947
151	2271527	2271527	2271527	2271527	2271527	2271527	2271527	30911
152	2331522	2331522	2331522	2331522	2331522	2331522	2331522	30874
153	2392708	2392708	2392708	2392708	2392708	2392708	2392708	30838
154	2455100	2455100	2455100	2455100	2455100	2455100	2455100	30801
155	2518714	2518714	2518714	2518714	2518714	2518714	2518714	30765
156	2583567	2583567	2583567	2583567	2583567	2583567	2583567	30729
157	2649674	2649674	2649674	2649674	2649674	2649674	2649674	30692
158	2717051	2717051	2717051	2717051	2717051	2717051	2717051	30656
159	2785715	2785715	2785715	2785715	2785715	2785715	2785715	30619
160	2855682	2855682	2855682	2855682	2855682	2855682	2855682	30583
161	2926969	2926969	2926969	2926969	2926969	2926969	2926969	30547
162	2999591	2999591	2999591	2999591	2999591	2999591	2999591	30510
163	3073566	3073566	3073566	3073566	3073566	3073566	3073566	30474
164	3148910	3148910	3148910	3148910	3148910	3148910	3148910	30437
165	3225641	3225641	3225641	3225641	3225641	3225641	3225641	30401
166	3303774	3303774	3303774	3303774	3303774	3303774	3303774	30365
167	3383328	3383328	3383328	3383328	3383328	3383328	3383328	30328
168	3464319	3464319	3464319	3464319	3464319	3464319	3464319	30292
169	3546765	3546765	3546765	3546765	3546765	3546765	3546765	30255
170	3630683	3630683	3630683	3630683	3630683	3630683	3630683	30219
171	3716090	3716090	3716090	3716090	3716090	3716090	3716090	30182
172	3803004	3803004	3803004	3803004	3803004	3803004	3803004	30146
173	3891443	3891443	3891443	3891443	3891443	3891443	3891443	30110
174	3981425	3981425	3981425	3981425	3981425	3981425	3981425	30073
175	4072967	4072967	4072967	4072967	4072967	4072967	4072967	30037
176	4166087	4166087	4166087	4166087	4166087	4166087	4166087	30000
177	4260804	4260804	4260804	4260804	4260804	4260804	4260804	29964
178	4357136	4357136	4357136	4357136	4357136	4357136	4357136	29928
179	4455100	4455100	4455100	4455100	4455100	4455100	4455100	29891
180	4554716	4554716	4554716	4554716	4554716	4554716	4554716	29855
181	4656002	4656002	4656002	4656002	4656002	4656002	4656002	29818
182	4758976	4758976	4758976	4758976	4758976	4758976	4758976	29782
183	4863657	4863657	4863657	4863657	4863657	4863657	4863657	29746
184	4970064	4970064	4970064	4970064	4970064	4970064	4970064	29709
185	5078217	5078217	5078217	5078217	5078217	5078217	5078217	29673
186	5188133	5188133	5188133	5188133	5188133	5188133	5188133	29636
187	5299832	5299832	5299832	5299832	5299832	5299832	5299832	29600
188	5413333	5413333	5413333	5413333	5413333	5413333	5413333	29564
189	5528656	5528656	5528656	5528656	5528656	5528656	5528656	29527
190	5645820	5645820	5645820	5645820	5645820	5645820	5645820	29491
191	5764845	5764845	5764845	5764845	5764845	5764845	5764845	29454
192	5885750	5885750	5885750	5885750	5885750	5885750	5885750	29418
193	6008555	6008555	6008555	6008555	6008555	6008555	6008555	29381
194	6133279	6133279	6133279	6133279	6133279	6133279	6133279	29345
195	6259943	6259943	6259943	6259943	6259943	6259943	6259943	29309
196	6388567	6388567	6388567	6388567	6388567	6388567	6388567	29272
197	6519171	6519171	6519171	6519171	6519171	6519171	6519171	29236
198	6651775	6651775	6651775	6651775	6651775	6651775	6651775	29199
199	6786400	6786400	6786400	6786400	6786400	6786400	6786400	29163
200	6923065	6923065	6923065	6923065	6923065	6923065	6923065	29127
201	7061792	7061792	7061792	7061792	7061792	7061792	7061792	29090
202	7202602	7202602	7202602	7202602	7202602	7202602	7202602	29054
203	7345514	7345514	7345514	7345514	7345514	7345514	7345514	29017
204	7490550	7490550	7490550	7490550	7490550	7490550	7490550	28981
205	7637731	7637731	7637731	7637731	7637731	7637731	7637731	28945
206	7787078	7787078	7787078	7787078	7787078	7787078	7787078	28908
207	7938612	7938612	7938612	7938612	7938612	7938612	7938612	28872
208	8092355	8092355	8092355	8092355	8092355	8092355	8092355	28835
209	8248327	8248327	8248327	8248327	8248327	8248327	8248327	28799
210	8406550	8406550	8406550	8406550	8406550	8406550	8406550	28763
211	8567047	8567047	8567047	8567047	8567047	8567047	8567047	28726
212	8729837	8729837	8729837	8729837	8729837	8729837	8729837	28690
213	8894945	8894945	8894945	8894945	8894945	8894945	8894945	28653
214	9062390	9062390	9062390	9062390	9062390	9062390	9062390	28617
215	9232196	9232196	9232196	9232196	9232196	9232196	9232196	28580
216	9404384	9404384	9404384	9404384	9404384	9404384	9404384	28544
217	9578977	9578977	9578977	9578977	9578977	9578977	9578977	28508
218	9755996	9755996	9755996	9755996	9755996	9755996	9755996	28471
219	9935465	9935465	9935465	9935465	9935465	9935465	9935465	28435
220	10117406	10117406	10117406	10117406	10117406	10117406	10117406	28398
221	10301841	10301841	10301841	10301841	10301841	10301841	10301841	28362
222	10488794	10488794	10488794	10488794	10488794	10488794	10488794	28326
223	10678286	10678286	10678286	10678286	10678286	10678286	10678286	28289
224	10870342	10870342	10870342	10870342	10870342	10870342	10870342	28253
225	11064983	11064983	11064983	11064983	11064983	11064983	11064983	28216
226	11262234	11262234	11262234	11262234	11262234	11262234	11262234	28180
227	11462117	11462117	11462117	11462117	11462117	11462117	11462117	28144
228	11664656	11664656	11664656	11664656	11664656	11664656	11664656	28107
229	11869874	11869874	11869874	11869874	11869874	11869874	11869874	28071
230	12077794	12077794	12077794	12077794	12077794	12077794	12077794	28034
231	12288441	12288441	12288441	12288441	12288441	12288441	12288441	27998
232	12501838	12501838	12501838	12501838	12501838	12501838	12501838	27962
233	12718010	12718010	12718010	12718010	12718010	12718010	12718010	27925
234	12936979	12936979	12936979	12936979	12936979	12936979	12936979	27889
235	13158770	13158770	13158770	13158770	13158770	13158770	13158770	27852
236	13383407	13383407	13383407	13383407	13383407	13383407	13383407	27816
237	13610915	13610915	13610915	13610915	13610915	13610915	13610915	27779
238	13841318	13841318	13841318	13841318	13841318	13841318	13841318	27743
239	14074640	14074640	14074640	14074640	14074640	14074640	14074640	27707
240	14310906	14310906	14310906	14310906	14310906	14310906	14310906	27670
241	14550141	14550141	14550141	14550141	14550141	14550141	14550141	27634
242	14792369	14792369	14792369	14792369	14792369	14792369	14792369	27597
243	15037616	15037616	15037616	15037616	15037616	15037616	15037616	27561
244	15285905	15285905	15285905	15285905	15285905	15285905	15285905	27525
245	15537263	15537263	15537263	15537263	15537263	15537263	15537263	27488
246	15791715	15791715	15791715	15791715	15791715	15791715	15791715	27452
247	16049286	16049286	16049286	16049286	16049286	16049286	16049286	27415
248	16310001	16310001	16310001	16310001	16310001	16310001	16310001	27379
249	16573885	16573885	16573885	16573885	16573885	16573885	16573885	27343
250	16840965	16840965	16840965	16840965	16840965	16840965	16840965	27306
251	17111267	17111267	17111267	17111267	17111267	17111267	17111267	27270
252	17384815	17384815	17384815	17384815	17384815	17384815	17384815	27233
253	17661636	17661636	17661636	17661636	17661636	17661636	17661636	27197
254	17941756	17941756	17941756	17941756	17941756	17941756	17941756	27161
255	18225202	18225202	18225202	18225202	18225202	18225202	18225202	27124
256	18511998	18511998	18511998	18511998	18511998	18511998	18511998	27088
257	18802172	18802172	18802172	18802172	18802172	18802172	18802172	27051
258	19095750	19095750	19095750	19095750	19095750	19095750	19095750	27015
259	19392759	19392759	19392759	19392759	19392759	19392759	19392759	26978
260	19693225	19693225	19693225	19693225	19693225	19693225	19693225	26942
261	19997175	19997175	19997175	19997175	19997175	19997175	19997175	26906
262	20304636	20304636	20304636	20304636	20304636	20304636	20304636	26869
263	20615635	20615635	20615635	20615635	20615635	20615635	20615635	26833
264	20930198	20930198	20930198	20930198	20930198	20930198	20930198	26796
265	21248354	21248354	21248354	21248354	21248354	21248354	21248354	26760
266	21570128	21570128	21570128	21570128	21570128	21570128	21570128	26724
267	21895550	21895550	21895550	21895550	21895550	21895550	21895550	26687
268	22224645	22224645	22224645	22224645	22224645	22224645	22224645	26651
269	22557443	22557443	22557443	22557443	22557443	22557443	22557443	26614
270	22893969	22893969	22893969	22893969	22893969	22893969	22893969	26578
271	23234253	23234253	23234253	23234253	23234253	23234253	23234253	26542
272	23578322	23578322	23578322	23578322	23578322	23578322	23578322	26505
273	23926204	23926204	23926204	23926204	23926204	23926204	23926204	26469
274	24277927	24277927	24277927	24277927	24277927	24277927	24277927	26432
275	24633519	24633519	24633519	24633519	24633519	24633519	24633519	26396
276	24993009	24993009	24993009	24993009	24993009	24993009	24993009	26360
277	25356424	25356424	25356424	25356424	25356424	25356424	25356424	26323
278	25723795	25723795	25723795	25723795	25723795	25723795	25723795	26287
279	26095148	26095148	26095148	26095148	26095148	26095148	26095148	26250
280	26470513	26470513	26470513	26470513	26470513	26470513	26470513	26214
281	26849919	26849919	26849919	26849919	26849919	26849919	26849919	26177
282	27233394	27233394	27233394	27233394	27233394	27233394	27233394	26141
283	27620968	27620968	27620968	27620968	27620968	27620968	27620968	26105
284	28012669	28012669	28012669	28012669	28012669	28012669	28012669	26068
285	28408528	28408528	28408528	28408528	28408528	28408528	28408528	26032
286	28808572	28808572	28808572	28808572	28808572	28808572	28808572	25995
287	29212832	29212832	29212832	29212832	29212832	29212832	29212832	25959
288	29621337	29621337	29621337	29621337	29621337	29621337	29621337	25923
289	30034117	30034117	30034117	30034117	30034117	30034117	30034117	25886
290	30451202	30451202	30451202	30451202	30451202	30451202	30451202	25850
291	30872621	30872621	30872621	30872621	30872621	30872621	30872621	25813
292	31298404	31298404	31298404	31298404	31298404	31298404	31298404	25777
293	31728582	31728582	31728582	31728582	31728582	31728582	31728582	25741
294	32163184	32163184	32163184	32163184	32163184	32163184	32163184	25704
295	32602241	32602241	32602241	32602241	32602241	32602241	32602241	25668
296	33045783	33045783	33045783	33045783	33045783	33045783	33045783	25631
297	33493840	33493840	33493840	33493840	33493840	33493840	33493840	25595
298	33946444	33946444	33946444	33946444	33946444	33946444	33946444	25559
299	34403624	34403624	34403624	34403624	34403624	34403624	34403624	25522
300	34865413	34865413	34865413	34865413	34865413	34865413	34865413	25486
301	35331839	35331839	35331839	35331839	35331839	35331839	35331839	25449
302	35802935	35802935	35802935	35802935	35802935	35802935	35802935	25413
303	36278731	36278731	36278731	36278731	36278731	36278731	36278731	25376
304	36759259	36759259	36759259	36759259	36759259	36759259	36759259	25340
305	37244550	37244550	37244550	37244550	37244550	37244550	37244550	25304
306	37734636	37734636	37734636	37734636	37734636	37734636	37734636	25267
307	38229547	38229547	38229547	38229547	38229547	38229547	38229547	25231
308	38729315	38729315	38729315	38729315	38729315	38729315	38729315	25194
309	39233973	39233973	39233973	39233973	39233973	39233973	39233973	25158
310	39743552	39743552	39743552	39743552	39743552	39743552	39743552	25122
311	40258083	40258083	40258083	40258083	40258083	40258083	40258083	25085
312	40777599	40777599	40777599	40777599	40777599	40777599	40777599	25049
313	41302132	41302132	41302132	41302132	41302132	41302132	41302132	25012
314	41831715	41831715	41831715	41831715	41831715	41831715	41831715	24976
315	42366378	42366378	42366378	42366378	42366378	42366378	42366378	24940
316	42906156	42906156	42906156	42906156	42906156	42906156	42906156	24903
317	43451080	43451080	43451080	43451080	43451080	43451080	43451080	24867
318	44001183	44001183	44001183	44001183	44001183	44001183	44001183	24830
319	44556497	44556497	44556497	44556497	44556497	44556497	44556497	24794
320	45117057	45117057	45117057	45117057	45117057	45117057	45117057	24758
321	45682894	45682894	45682894	45682894	45682894	45682894	45682894	24721
322	46254041	46254041	46254041	46254041	46254041	46254041	46254041	24685
323	46830532	46830532	46830532	46830532	46830532	46830532	46830532	24648
324	47412400	47412400	47412400	47412400	47412400	47412400	47412400	24612
325	47999678	47999678	47999678	47999678	47999678	47999678	47999678	24576
326	48592400	48592400	48592400	48592400	48592400	48592400	48592400	24539
327	49190599	49190599	49190599	49190599	49190599	49190599	49190599	24503
328	49794309	49794309	49794309	49794309	49794309	49794309	49794309	24466
329	50403564	50403564	50403564	50403564	50403564	50403564	50403564	24430
330	51018397	51018397	51018397	51018397	51018397	51018397	51018397	24393
331	51638842	51638842	51638842	51638842	51638842	51638842	51638842	24357
332	52264935	52264935	52264935	52264935	52264935	52264935	52264935	24321
333	52896708	52896708	52896708	52896708	52896708	52896708	52896708	24284
334	53534196	53534196	53534196	53534196	53534196	53534196	53534196	24248
335	54177433	54177433	54177433	54177433	54177433	54177433	54177433	24211
336	54826454	54826454	54826454	54826454	54826454	54826454	54826454	24175
337	55481294	55481294	55481294	55481294	55481294	55481294	55481294	24139
338	56141986	56141986	56141986	56141986	56141986	56141986	56141986	24102
339	56808567	56808567	56808567	56808567	56808567	56808567	56808567	24066
340	57481071	57481071	57481071	57481071	57481071	57481071	57481071	24029
341	58159532	58159532	58159532	58159532	58159532	58159532	58159532	23993
342	58843986	58843986	58843986	58843986	58843986	58843986	58843986	23957
343	59534468	59534468	59534468	59534468	59534468	59534468	59534468	23920
344	60231014	60231014	60231014	60231014	60231014	60231014	60231014	23884
345	60933658	60933658	60933658	60933658	60933658	60933658	60933658	23847
346	61642437	61642437	61642437	61642437	61642437	61642437	61642437	23811
347	62357385	62357385	62357385	62357385	62357385	62357385	62357385	23775
348	63078539	63078539	63078539	63078539	63078539	63078539	63078539	23738
349	63805935	63805935	63805935	63805935	63805935	63805935	63805935	23702
350	64539608	64539608	64539608	64539608	64539608	64539608	64539608	23665
351	65279594	65279594	65279594	65279594	65279594	65279594	65279594	23629
352	66025930	66025930	66025930	66025930	66025930	66025930	66025930	23592
353	66778652	66778652	66778652	66778652	66778652	66778652	66778652	23556
354	67537796	67537796	67537796	67537796	67537796	67537796	67537796	23520
355	68303398	68303398	68303398	68303398	68303398	68303398	68303398	23483
356	69075495	69075495	69075495	69075495	69075495	69075495	69075495	23447
357	69854124	69854124	69854124	69854124	69854124	69854124	69854124	23410
358	70639322	70639322	70639322	70639322	70639322	70639322	70639322	23374
359	71431124	71431124	71431124	71431124	71431124	71431124	71431124	23338
360	72229569	72229569	72229569	72229569	72229569	72229569	72229569	23301
361	73034694	73034694	73034694	73034694	73034694	73034694	73034694	23265
362	73846535	73846535	73846535	73846535	73846535	73846535	73846535	23228
363	74665129	74665129	74665129	74665129	74665129	74665129	74665129	23192
364	75490515	75490515	75490515	75490515	75490515	75490515	75490515	23156
365	76322729	76322729	76322729	76322729	76322729	76322729	76322729	23119
366	77161809	77161809	77161809	77161809	77161809	77161809	77161809	23083
367	78007793	78007793	78007793	78007793	78007793	78007793	78007793	23046
368	78860719	78860719	78860719	78860719	78860719	78860719	78860719	23010
369	79720624	79720624	79720624	79720624	79720624	79720624	79720624	22974
370	80587546	80587546	80587546	80587546	80587546	80587546	80587546	22937
371	81461524	81461524	81461524	81461524	81461524	81461524	81461524	22901
372	82342596	82342596	82342596	82342596	82342596	82342596	82342596	22864
373	83230800	83230800	83230800	83230800	83230800	83230800	83230800	22828
374	84126174	84126174	84126174	84126174	84126174	84126174	84126174	22791
375	85028757	85028757	85028757	85028757	85028757	85028757	85028757	22755
376	85938588	85938588	85938588	85938588	85938588	85938588	85938588	22719
377	86855704	86855704	86855704	86855704	86855704	86855704	86855704	22682
378	87780146	87780146	87780146	87780146	87780146	87780146	87780146	22646
379	88711952	88711952	88711952	88711952	88711952	88711952	88711952	22609
380	89651160	89651160	89651160	89651160	89651160	89651160	89651160	22573
381	90597811	90597811	90597811	90597811	90597811	90597811	90597811	22537
382	91551943	91551943	91551943	91551943	91551943	91551943	91551943	22500
383	92513595	92513595	92513595	92513595	92513595	92513595	92513595	22464
384	93482808	93482808	93482808	93482808	93482808	93482808	93482808	22427
385	94459620	94459620	94459620	94459620	94459620	94459620	94459620	22391
386	95444071	95444071	95444071	95444071	95444071	95444071	95444071	22355
387	96436201	96436201	96436201	96436201	96436201	96436201	96436201	22318
388	97436050	97436050	97436050	97436050	97436050	97436050	97436050	22282
389	98443658	98443658	98443658	98443658	98443658	98443658	98443658	22245
390	99459064	99459064	99459064	99459064	99459064	99459064	99459064	22209
391	100482309	100482309	100482309	100482309	100482309	100482309	100482309	22173
392	101513434	101513434	101513434	101513434	101513434	101513434	101513434	22136
393	102552477	102552477	102552477	102552477	102552477	102552477	102552477	22100
394	103599481	103599481	103599481	103599481	103599481	103599481	103599481	22063
395	104654485	104654485	104654485	104654485	104654485	104654485	104654485	22027
396	105717531	105717531	105717531	105717531	105717531	105717531	105717531	21990
397	106788658	106788658	106788658	106788658	106788658	106788658	106788658	21954
398	107867908	107867908	107867908	107867908	107867908	107867908	107867908	21918
399	108955322	108955322	108955322	108955322	108955322	108955322	108955322	21881
400	110050941	110050941	110050941	110050941	110050941	110050941	110050941	21845
401	111154806	111154806	111154806	111154806	111154806	111154806	111154806	21808
402	112266958	112266958	112266958	112266958	112266958	112266958	112266958	21772
403	113387438	113387438	113387438	113387438	113387438	113387438	113387438	21736
404	114516289	114516289	114516289	114516289	114516289	114516289	114516289	21699
405	115653552	115653552	115653552	115653552	115653552	115653552	115653552	21663
406	116799268	116799268	116799268	116799268	116799268	116799268	116799268	21626
407	117953479	117953479	117953479	117953479	117953479	117953479	117953479	21590
408	119116228	119116228	119116228	119116228	119116228	119116228	119116228	21554
409	120287555	120287555	120287555	120287555	120287555	120287555	120287555	21517
410	121467504	121467504	121467504	121467504	121467504	121467504	121467504	21481
411	122656117	122656117	122656117	122656117	122656117	122656117	122656117	21444
412	123853435	123853435	123853435	123853435	123853435	123853435	123853435	21408
413	125059501	125059501	125059501	125059501	125059501	125059501	125059501	21372
414	126274358	126274358	126274358	126274358	126274358	126274358	126274358	21335
415	127498049	127498049	127498049	127498049	127498049	127498049	127498049	21299
416	128730615	128730615	128730615	128730615	128730615	128730615	128730615	21262
417	129972100	129972100	129972100	129972100	129972100	129972100	129972100	21226
418	131222547	131222547	131222547	131222547	131222547	131222547	131222547	21189
419	132481999	132481999	132481999	132481999	132481999	132481999	132481999	21153
420	133750499	133750499	133750499	133750499	133750499	133750499	133750499	21117
421	135028090	135028090	135028090	135028090	135028090	135028090	135028090	21080
422	136314816	136314816	136314816	136314816	136314816	136314816	136314816	21044
423	137610720	137610720	137610720	137610720	137610720	137610720	137610720	21007
424	138915845	138915845	138915845	138915845	138915845	138915845	138915845	20971
425	140230236	140230236	140230236	140230236	140230236	140230236	140230236	20935
426	141553935	141553935	141553935	141553935	141553935	141553935	141553935	20898
427	142886987	142886987	142886987	142886987	142886987	142886987	142886987	20862
428	144229436	144229436	144229436	144229436	144229436	144229436	144229436	20825
429	145581326	145581326	145581326	145581326	145581326	145581326	145581326	20789
430	146942701	146942701	146942701	146942701	146942701	146942701	146942701	20753
431	148313605	148313605	148313605	148313605	148313605	148313605	148313605	20716
432	149694083	149694083	149694083	149694083	149694083	149694083	149694083	20680
433	151084179	151084179	151084179	151084179	151084179	151084179	151084179	20643
434	152483937	152483937	152483937	152483937	152483937	152483937	152483937	20607
435	153893403	153893403	153893403	153893403	153893403	153893403	153893403	20571
436	155312621	155312621	155312621	155312621	155312621	155312621	155312621	20534
437	156741637	156741637	156741637	156741637	156741637	156741637	156741637	20498
438	158180494	158180494	158180494	158180494	158180494	158180494	158180494	20461
439	159629238	159629238	159629238	159629238	159629238	159629238	159629238	20425
440	161087915	161087915	161087915	161087915	161087915	161087915	161087915	20388
441	162556569	162556569	162556569	162556569	162556569	162556569	162556569	20352
442	164035247	164035247	164035247	164035247	164035247	164035247	164035247	20316
443	165523993	165523993	165523993	165523993	165523993	165523993	165523993	20279
444	167022853	167022853	167022853	167022853	167022853	167022853	167022853	20243
445	168531873	168531873	168531873	168531873	168531873	168531873	168531873	20206
446	170051099	170051099	170051099	170051099	170051099	170051099	170051099	20170
