class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Guild Vault Page 1	0	321	220	442	10	4	30	305	199	313	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	30	305	199	313	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	10	10	16	302	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	20	75	4	116	55	112	136	191	64	147	55	83	251	307	4	116	56	112	136	191	3	59	55	56	208	233	32	58	25	26	93	118	121	147	25	26	208	233	122	148	25	26	136	191	154	178	55	24	251	306	122	178	55	56	20	75	121	178	55	57
Druid	320	640	0	441	16	14	353	609	145	370	16	16	403	432	34	93	31	61	463	493	47	92	32	45	528	558	34	93	31	61	466	496	9	39	30	30	504	520	24	40	16	15	442	458	102	118	16	15	504	520	102	118	16	15	465	496	102	117	30	15	528	558	104	134	30	30	404	434	104	134	30	30
Assassin	320	640	0	441	16	14	353	609	145	370	16	16	403	432	34	93	31	61	463	493	47	92	32	45	528	558	34	93	31	61	466	496	9	39	30	30	504	520	24	40	16	15	442	458	102	118	16	15	504	520	102	118	16	15	465	496	102	117	30	15	528	558	104	134	30	30	404	434	104	134	30	30
Amazon2	400	720	60	501	16	14	433	689	205	428	16	16	483	512	94	153	31	61	543	573	107	152	32	82	608	638	94	153	31	61	546	576	69	99	30	30	584	600	84	100	16	15	522	538	162	178	16	15	584	600	162	178	16	15	545	576	162	177	30	15	608	638	164	194	30	30	484	514	164	194	30	30
Sorceress2	400	720	60	501	16	14	433	689	205	428	16	16	483	512	94	153	31	61	543	573	107	152	32	45	608	638	94	153	31	61	546	576	69	99	30	30	584	600	84	100	16	15	522	538	162	178	16	15	584	600	162	178	16	15	545	576	162	177	30	15	608	638	164	194	30	30	484	514	164	194	30	30
Necromancer2	400	720	60	501	16	14	433	689	205	428	16	16	483	512	94	153	31	61	543	573	107	152	32	45	608	638	94	153	31	61	546	576	69	99	30	30	584	600	84	100	16	15	522	538	162	178	16	15	584	600	162	178	16	15	545	576	162	177	30	15	608	638	164	194	30	30	484	514	164	194	30	30
Paladin2	400	720	60	501	16	14	433	689	205	428	16	16	483	512	94	153	31	61	543	573	107	152	32	45	608	638	94	153	31	61	546	576	69	99	30	30	584	600	84	100	16	15	522	538	162	178	16	15	584	600	162	178	16	15	545	576	162	177	30	15	608	638	164	194	30	30	484	514	164	194	30	30
Barbarian2	400	720	60	501	16	14	433	689	205	428	16	16	483	512	94	153	31	61	543	573	107	152	32	45	608	638	94	153	31	61	546	576	69	99	30	30	584	600	84	100	16	15	522	538	162	178	16	15	584	600	162	178	16	15	545	576	162	177	30	15	608	638	164	194	30	30	484	514	164	194	30	30
Monster2	80	401	60	502	16	16	88	343	123	378	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	280	502	16	7	114	370	99	210	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	16	7	114	370	315	426	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	96	154	324	333	446	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	16	16	112	367	63	318	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	110	385	259	373	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	110	385	259	373	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	10	10	96	382	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	64	176	55	112	216	271	124	207	55	83	331	387	64	176	56	112	216	271	63	119	55	56	288	313	92	118	25	26	173	198	181	207	25	26	288	313	182	208	25	26	216	271	214	238	55	24	331	386	182	238	55	56	100	155	181	238	55	57
Druid2	400	720	60	501	16	14	432	688	205	428	16	16	483	512	94	153	31	61	543	573	107	152	32	45	608	638	94	153	31	61	546	576	69	99	30	30	584	600	84	100	16	15	522	538	162	178	16	15	584	600	162	178	16	15	545	576	162	177	30	15	608	638	164	194	30	30	484	514	164	194	30	30
Assassin2	400	720	60	501	16	14	432	688	205	428	16	16	483	512	94	153	31	61	543	573	107	152	32	45	608	638	94	153	31	61	546	576	69	99	30	30	584	600	84	100	16	15	522	538	162	178	16	15	584	600	162	178	16	15	545	576	162	177	30	15	608	638	164	194	30	30	484	514	164	194	30	30
